GP19A9,German,English,Unit
2814 13 806,"Ableiter, Abscheider, Be- und Entlüfter","Discourse, separator, ventilated and ventilated",kg
2814 20 001,für Hydroventile,For hydroventile,EUR
2814 20 002,für Pneumatikventile,For pneumatic valves,EUR
2814 20 009,"für andere Armaturen u.ä. Apparate für Rohr- und Schlauchleitungen, Dampfkessel, Sammelbehälter usw.","For other fittings, etc. Apparatus for pipe and hose pipes, steam boilers, collection containers, etc.",EUR
2815 10 300,Kugellager,ball-bearing,kg
2815 10 530,Kegelrollenlager (einschl. Zusammenstellungen aus Kegeln und Kegelrollen),Bowling roller bearings (including compilations made of bowling and cone rolls),kg
2815 10 550,Tonnenlager (Pendelrollenlager),Ton camp (pendulum roller warehouse),kg
2815 10 570,Zylinderrollenlager,Cylinder roller warehouse,kg
2815 10 700,Nadellager,Needle camp,kg
2815 10 900,Andere Wälzlager (einschl. kombinierter Wälzlager),Other rolling bearings (including combined rolling bearings),kg
2815 21 300,"Rollenketten für Fahrräder, Mopeds und Krafträder","Role chains for bicycles, mopeds and motorcycles",kg
2815 21 500,Andere Rollenketten,Other roller chains,kg
2815 21 700,Andere Gelenkketten,Other joint chains,kg
2815 22 300,Kurbeln und Kurbelwellen,Crank and crankshafts,kg
2815 22 500,Gelenkwellen,Joint waves,kg
2815 22 700,Andere Wellen (ohne Gelenkwellen),Other waves (without joint waves),kg
2815 23 300,Lagergehäuse mit eingebautem Wälzlager,Warehouses with built -in rolling bearing,kg
2815 23 501,Lagergehäuse ohne eingebaute Wälzlager,Warehouses without built -in rolling stores,kg
2815 23 505,Gleitlager und Lagerschalen,Sliding bearings and warehouse shells,kg
2815 24 320,Stirnradgetriebe (Zahnradgetriebe),Fine bike gear (gear gear),kg
2815 24 330,Kegelrad- und Kegelstirnradgetriebe (Zahnradgetriebe),Kegel wheel and cone bike gear (gear gear),kg
2815 24 340,Schneckengetriebe (Zahnradgetriebe),Snail gear (gear gear),kg
2815 24 401,Planetengetriebe (Zahnradgetriebe),Planetary gear (gear gear),kg
2815 24 403,Andere Zahnradgetriebe für stationäre Zwecke,Other gear gears for inpatient purposes,kg
2815 24 409,Zahnradgetriebe für Wasserfahrzeuge,Gear gearbox for watercraft,kg
2815 24 504,für Landmaschinen u.a. selbstfahrende Maschinen,"For agricultural machinery, including self -driving machines",kg
2815 24 507,"Stufenlos regelbare Getriebe (hydraulisch, hydrostatisch und mechanisch)","Steplessly controllable gears (hydraulic, hydrostatic and mechanical)",kg
2815 24 730,Kugel- oder Rollenrollspindeln,Ball or roller roller spindles,kg
2815 24 750,Andere Getriebe (z.B. Reibradgetriebe),Other gears (e.g. frictional gear),kg
2815 25 000,Schwungräder sowie Riemen- und Seilscheiben (einschl. Seilrollenblöcke für Flaschenzüge),Loan wheels as well as straps and rope slices (including rope roller blocks for bottle covers),kg
2815 26 001,"Elastische Kupplungen, drehstarre Kupplungen","Elastic clutches, rigid shoots",kg
2815 26 003,Hydraulische Kupplungen,Hydraulic couplings,kg
2815 26 005,Reibungskupplungen und -bremsen,Friction clutches and brakes,kg
2815 26 007,Freilaufkupplungen (einschl. Rücklaufsperren),Free clutches (including return barriers),kg
2815 26 009,Andere Kupplungen,Other couplings,kg
2815 31 300,"Kugeln, Rollen und Nadeln","Balls, rollers and needles",kg
2815 31 500,Andere Teile für Wälzlager (z.B. Spann- und Abziehhülsen),Other parts for rolling bearings (e.g. clamping and pull-off sleeves),EUR
2815 32 000,"Teile für Gelenkketten, aus Eisen oder Stahl","Parts for joint chains, made of iron or steel",EUR
2815 39 300,für Lagergehäuse von Wälzlagern aller Art,For warehouses of rolling bearings of all kinds,EUR
2815 39 501,Kettenräder,Chain wheels,EUR
2815 39 502,Stirnräder,Front wheels,EUR
2815 39 503,Kegelräder,Gear wheels,EUR
2815 39 504,Schnecken und Schneckenräder,Snails and snail wheels,EUR
2815 39 505,Andere Zahnräder und Zahnstangen,Other gears and racks,EUR
2815 39 506,Teile für Getriebe,Parts for gearbox,EUR
2815 39 507,Teile für Kupplungen,Parts for couplings,EUR
2815 39 509,"Andere Teile, a.n.g.","Other parts, A.N.G.",EUR
2821 11 300,Brenner für flüssigen Brennstoff,Burner for liquid fuel,St
2821 11 501,für gasförmige Stoffe,For gaseous fabrics,St
2821 11 509,Andere Brenner (einschl. kombinierter Brenner),Other burners (including combined burners),St
2821 11 700,"Automatische Feuerungen (einschl. mechanischer Beschicker, Roste, Entascher u.ä. Vorrichtungen)","Automatic fires (including mechanical feeders, rust, entascher, etc.)",St
2821 12 300,"Industrie- und Laboratoriumsöfen zum Schmelzen, Rösten o.a. Warmbehandeln von Erzen, Schwefelkies oder Metallen","Industrial and laboratory stoves for melting, roasting or the like warm-ups of ores, sulfur gravel or metals",St
2821 12 700,Verbrennungsöfen u.a. nicht elektrische Industrie- und Laboratoriumsöfen,"Combustion stoves, including not electrical industrial and laboratory stoves",kg
2821 13 300,"Backöfen (Widerstandsöfen mit indirekter Beheizung) für Brotfabriken, Bäckereien, Konditoreien und Keksfabriken","Ovens (resistance stoves with indirect heating) for bread factories, bakeries, pastry shops and biscuit factories",St
2821 13 510,Widerstandsöfen mit indirekter Beheizung (ohne Backöfen),Resistance stoves with indirect heating (without ovens),kg + St
2821 13 530,Induktionsöfen,Induction stoves,kg + St
2821 13 540,"Öfen m. dielektrischer, kapazitiver Erwärmung; Apparate z. Warmbehandeln v. Stoffen mittels Induktion o. dielektrischer, kapazitiver Erwärmung; and. elektrische Industrie- und Laboratoriumsöfen (z.B. Mikrowellen- und Plasmaöfen, Laseröfen); Infrarotöfen","Eats m. Dielectric, capacitive warming; Apparatus z. Warm treatment v. Features by means of induction or dielectric, capacitive warming; and. Electrical industrial and laboratory stoves (e.g. microwave and plasma stoves, laser stoves); Infrared stoves",kg + St
2821 14 300,für Brenner und automatische Feuerungen,For burners and automatic fires,EUR
2821 14 500,"für nicht elektrische Industrie- und Laboratoriumsöfen, einschl. Verbrennungsöfen","For non-electrical industrial and laboratory stoves, including combustion stoves",EUR
2821 14 700,"für elektrische Industrie- und Laboratoriumsöfen und -apparate zum Warmbehandeln von Stoffen, einschl. Induktionsöfen oder Öfen mit dielektrischer Erwärmung","For electrical industrial and laboratory stoves and apparatus for warm treatment of fabrics, including induction stoves or stoves with dielectric warming",EUR
2822 11 300,mit Elektromotor,with an electric motor,St
2822 11 700,Andere Flaschenzüge,Other bottle trains,St
2822 12 001,Zugwinden und Spille mit Elektromotor,Train winds and rash with an electric motor,St
2822 12 003,Zugwinden und Spille mit Kolbenverbrennungsmotor,Train winds and rash with piston burning engine,St
2822 12 009,Andere Zugwinden und Spille,Other tensile winds and spill,St
2822 13 300,Ortsfeste Hebebühnen für Kraftfahrzeugwerkstätten,Local lifting platforms for motor vehicle workshops,St
2822 13 501,Hubarbeitsbühnen,Hidfarming platforms,St
2822 13 509,Andere hydraulische Hubwinden,Other hydraulic hub winds,St
2822 13 700,Andere Hubwinden,Others hub winds,St
2822 14 200,Konsol- oder Wandlaufkrane,Console or wall cranes,St
2822 14 330,"Hubportale und Portalhubkraftkarren, auf luftbereiften Rädern fahrend","Hub portals and portal lifting carts, driving on air -tires",St
2822 14 350,"Andere Laufkrane, Portalkrane (ohne Portaldrehkrane), Verladebrücken","Other running cranes, portal cranes (without portal crane), loading bridges",St
2822 14 400,"Turmdrehkrane, Portaldrehkrane","Tower cranes, portal shooting cranes",St
2822 14 500,"Krankraftkarren u.a. selbstfahrende Maschinen, Apparate und Geräte","Self -driving machines, apparatus and devices",St
2822 14 600,"Andere Krane, zum Aufbau auf Straßenfahrzeuge","Other cranes, for building on road vehicles",St
2822 14 700,"Andere Krane, a.n.g.","Other cranes, A.N.G.",St
2822 15 130,zum Heben auf eine Höhe von 1 m oder mehr,For lifting to a height of 1 m or more,St
2822 15 150,Andere Elektrokraftkarren,Other electric power carts,St
2822 15 300,"Selbstfahrende Karren mit Hebevorrichtung, nicht elektrisch","Self -driving cart with lifting device, not electrical",St
2822 15 500,Karren mit Hebezeugen oder Fördermitteln (ohne Kraftkarren),Carrows with levies or funding (without force carts),St
2822 15 700,"Andere Kraftkarren, ohne Hebevorrichtung","Other power carts, without lifting device",St
2822 16 301,"Personenaufzüge mit einer Geschwindigkeit von weniger als 1,6 m/s",Personal lifts at a speed of less than 1.6 m/s,St
2822 16 302,"Personenaufzüge mit einer Geschwindigkeit von 1,6 m/s oder mehr",People at a speed of 1.6 m/s or more,St
2822 16 303,Bauaufzüge,Building lifts,St
2822 16 306,Lastenaufzüge mit einer Tragkraft bis 2500 kg,Light liabüzen with a load capacity up to 2500 kg,St
2822 16 309,"Andere Aufzüge, elektrisch","Other elevators, electrical",St
2822 16 501,Hydraulische Personenaufzüge mit einer Tragkraft bis 630 kg,Hydraulic passenger lifts with a load capacity up to 630 kg,St
2822 16 502,Hydraulische Personenaufzüge mit einer Tragkraft über 630 kg,Hydraulic passenger lifts with a load capacity over 630 kg,St
2822 16 504,Hydraulische Lastenaufzüge mit einer Tragkraft bis 2500 kg,Hydraulic cargo elevators with a load capacity up to 2500 kg,St
2822 16 508,Andere Personen- und Lastenaufzüge,Other passenger and cargo elevators,St
2822 16 700,Rolltreppen und Rollsteige,Rillers and rollers,St
2822 17 403,für Schüttgut (ohne solche für die Landwirtschaft),For bulk goods (without such for agriculture),St
2822 17 409,"Andere pneumatische Stetigförderer (z.B. Rohrpostanlagen, Stetigförderer für die Landwirtschaft)","Other pneumatic steading conveyors (e.g. pipe postal systems, steadily promoters for agriculture)",St
2822 17 500,"Stetigförderer mit Kübeln, für Waren","Constant conveyor with tubs, for goods",St
2822 17 701,für den Tagebau,For the open -cast mine,St
2822 17 705,"Andere Stetigförderer mit Bändern oder Gurten, für Schüttgut","Other steady conveyors with ligaments or straps, for bulk goods",St
2822 17 708,"Andere Stetigförderer mit Bändern oder Gurten, für Waren","Other steady conveyors with ligaments or straps, for goods",St
2822 17 930,Scheibenrollenbahnen u.a. Rollenbahnen,Roller tracks,St
2822 17 950,Andere Stetigförderer für Waren,Other steady conveyors for goods,St
2822 18 200,"Seilschwebebahnen, Sessel- und Schlepplifte; Zugmechanismen für Standseilbahnen","Rope floating lanes, armchairs and drag lifts; Train mechanisms for stand ropes",St
2822 18 401,"Rollgänge für Walzwerke, Kipper, Wender und Manipulatoren für Rohblöcke, Luppen, Stäbe, Platten (ohne Schmiedemanipulatoren, Beschickungseinrichtungen, ohne solche für Krane)","Rotals for rolling works, tipper, turning and manipulator for raw blocks, loops, rods, plates (without wrought -manipulators, loading devices, without those for cranes)",St
2822 18 402,"Hubtische, Ladebrücken, Hubladebühnen","Hubic, loading bridges, Hubladesbühnen",St
2822 18 404,Shuttlefahrzeuge für Lager,Shuttrobs for warehouse,St
2822 18 405,Regalbediengeräte,Shelf operations devices,St
2822 18 408,"Andere Maschinen, Apparate und Geräte zum Heben, Be-, Entladen oder Fördern (einschl. Schmiedemanipulatoren, Beschickungseinrichtungen, Aufschieber, Vorzieher u.ä. Vorrichtungen zum Bewegen von Schienenfahrzeugen)","Other machines, apparatus and devices for lifting, loading, unloading or promoting (including blacksmithing manipulators, loading devices, absorbers, advancers, etc. devices for moving rail vehicles)",St
2822 18 500,"Lademaschinen für die Landwirtschaft, a.n.g. (z.B. Schlepperanbaulader)","Loading machines for agriculture, A.N.G. (e.g. tractor grower)",St
2822 19 301,für Kraftkarren mit Hebevorrichtung,For power carts with lifting device,EUR
2822 19 305,für Stetigförderer,For steadily conveyor,EUR
2822 19 308,für andere Fördermaschinen für den Untertagebergbau,For other conveyor machines for sub -divers,EUR
2822 19 309,"für andere Maschinen, Apparate und Geräte zum Heben, Fördern usw. (ohne solche für Krane, Aufzüge und Rolltreppen)","For other machines, apparatus and devices for lifting, promoting, etc. (without such for cranes, elevators and escalators)",EUR
2822 19 503,für Förderkörbe,For conveyor baskets,EUR
2822 19 509,für Rolltreppen sowie Personen- und Lastenaufzüge,For escalators and cargo elevators,EUR
2822 19 700,für Kraftkarren ohne Hebevorrichtung,For power carts without lifting device,EUR
2822 20 000,"Eimer, Kübel, Schaufeln, Löffel, Greifer und Zangen für Krane, Bagger usw.","Bucket, bucket, shovel, spoon, gripper and pliers for cranes, excavators, etc.",kg
2823 10 000,"Rechenmaschinen u.ä. Maschinen mit eingebautem Rechenwerk, einschl. Textverarbeitungsmaschinen (z.B. Rechenmaschinen, Abrechnungs-, Frankier-, Fahrkarten- oder Eintrittskartenausgabe- u.ä. Maschinen mit eingebautem Rechenwerk, Scannerkassen)","Calculation machines etc. Machines with built-in calculation work, including text processing machines (e.g. arithmetic machines, billing, franky, ticket or admission ticket output and the like, machines with built-in calculation, scannerasses)",St
2823 21 100,"Büromaschinen (z.B. elektrostatische u.a. Fotokopierapparate, Adressier- und Adressenprägemaschinen, Heftgeräte u. -zangen, Locher, Aktenvernichter, Münzsortier-, Münzzähl- o. -einwickelmaschinen, Bogenoffsetmaschinen f. 22 x 36 cm o. weniger)","Office machines (e.g. electrostatic, etc. photo opier apparatus, addressing and addressing machines, booklet and tongs, punch, file destroyer, coin sorting, coin counter or wrapping machines, arc off -set machines for 22 x 36 cm or less)",St
2823 22 100,Teile und Zubehör für Büromaschinen (einschl. zusammengesetzter elektronischer Schaltungen (Baugruppen)),Parts and accessories for office machines (including composed electronic circuits (assemblies)),EUR
2824 11 130,ohne externe Energiequelle,Without external energy source,St
2824 11 150,elektropneumatisch,electropneumatic,St
2824 11 170,Andere elektrische Handbohrmaschinen,Other electrical hand drilling machines,St
2824 11 200,"Elektrische Handwerkzeuge (ohne externe Energiequelle), a.n.g.","Electrical hand tools (without external energy source), A.N.G.",St
2824 11 230,Kettensägen,Chainsaw,St
2824 11 250,Kreissägen,Circular saw,St
2824 11 270,Andere elektrische Handsägen (z.B. Stichsägen),Other electrical hand saws (e.g. stab saws),St
2824 11 501,Winkelschleifer,Angle grinder,St
2824 11 509,"Andere elektrische Handschleifmaschinen (z.B. Schwingschleifer, Bandschleifmaschinen) und Handhobelmaschinen","Other electrical hand grinding machines (e.g. swing grinder, band grinding machines) and hand planer machines",St
2824 11 800,"Elektrische Hecken-, Grasscheren und Rasenkantenschneider (ohne Akku-Werkzeuge)","Electric hedge, grass scissors and lawn edges (without battery tools)",St
